date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:25	3051/3051	---M--	200	added ('OK')	image/png	etag:1661780872	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:72,h:72,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_72,h_72,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:25	5466/5466	---M--	200	added ('OK')	image/png	etag:3259976708	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:114,h:114,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_114,h_114,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:25	5704/5704	---M--	200	added ('OK')	image/png	etag:884269454	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:120,h:120,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_120,h_120,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:26	7415/7415	---M--	200	added ('OK')	image/png	etag:1089736689	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:144,h:144,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_144,h_144,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:26	7469/7469	---M--	200	added ('OK')	image/png	etag:3926058979	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:152,h:152,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_152,h_152,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:26	9211/9211	---M--	200	added ('OK')	image/png	etag:688675178	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:180,h:180,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_180,h_180,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:26	46396/46396	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2016:03:12%20GMT	https://img1.wsimg.com/gfonts/s/sacramento/v13/buEzpo6gcdjy0EiZMBUG4C0f-A.ttf	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/gfonts/s/sacramento/v13/buEzpo6gcdjy0EiZMBUG4C0f-A.ttf	(from https://mamacitaitaliana.godaddysites.com/)
16:26:26	46104/46104	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2016:01:01%20GMT	https://img1.wsimg.com/gfonts/s/raleway/v27/1Pt_g8zYS_SKggPNyCgSQamb1W0lwk4S4WjMDrMfJQ.ttf	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/gfonts/s/raleway/v27/1Pt_g8zYS_SKggPNyCgSQamb1W0lwk4S4WjMDrMfJQ.ttf	(from https://mamacitaitaliana.godaddysites.com/)
16:26:27	46780/46780	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2015:53:14%20GMT	https://img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVuEorCIPrQ.ttf	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVuEorCIPrQ.ttf	(from https://mamacitaitaliana.godaddysites.com/)
16:26:27	46760/46760	---M--	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2015:53:13%20GMT	https://img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVvaorCIPrQ.ttf	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVvaorCIPrQ.ttf	(from https://mamacitaitaliana.godaddysites.com/)
16:26:27	46796/46796	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2015:53:13%20GMT	https://img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVsEpbCIPrQ.ttf	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVsEpbCIPrQ.ttf	(from https://mamacitaitaliana.godaddysites.com/)
16:26:27	46708/46708	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2015:56:04%20GMT	https://img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVs9pbCIPrQ.ttf	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/gfonts/s/raleway/v27/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVs9pbCIPrQ.ttf	(from https://mamacitaitaliana.godaddysites.com/)
16:26:28	33010/33010	---MCZ	200	added ('OK')	application/javascript	etag:756359ca5305c2cf0b12880ed3da90fa	https://mamacitaitaliana.godaddysites.com/sw.js	C:/Mis%20lugares%20Web/Mamacita/mamacitaitaliana.godaddysites.com/sw.js	(from https://mamacitaitaliana.godaddysites.com/)
16:26:28	46740/46740	---MCZ	200	added ('OK')	text/html	etag:a22c7625b96014d4975f426a9a99e3ef	https://mamacitaitaliana.godaddysites.com/nuestra-musica	C:/Mis%20lugares%20Web/Mamacita/mamacitaitaliana.godaddysites.com/nuestra-musica.html	(from https://mamacitaitaliana.godaddysites.com/)
16:26:29	51416/51416	---MCZ	200	added ('OK')	text/html	etag:33156036bf6ee228bcd13d2aa9c0b178	https://mamacitaitaliana.godaddysites.com/acerca-de	C:/Mis%20lugares%20Web/Mamacita/mamacitaitaliana.godaddysites.com/acerca-de.html	(from https://mamacitaitaliana.godaddysites.com/)
16:26:30	57993/57993	---MCZ	200	added ('OK')	text/html	etag:6c76a3bae56101efb63a3f780f94fff5	https://mamacitaitaliana.godaddysites.com/fanatico-a-ti	C:/Mis%20lugares%20Web/Mamacita/mamacitaitaliana.godaddysites.com/fanatico-a-ti.html	(from https://mamacitaitaliana.godaddysites.com/)
16:26:32	59846/59846	---M--	200	added ('OK')	image/jpeg	etag:944911263	http://img1.wsimg.com/isteam/stock/by4rANV/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:600,h:600,cg:true	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/stock/by4rANV/_/cr=t_0%,l_0%,w_100%,h_100%/rs=w_600,h_600,cg_true.jpg	(from https://mamacitaitaliana.godaddysites.com/)
16:26:32	101/101	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2001%20Jul%202022%2021:11:52%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.es-ES	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/poly/v3/polyfill.min6dcd.js	(from https://mamacitaitaliana.godaddysites.com/)
16:26:33	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2003%20Jul%202022%2014:26:33%20GMT	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.1d.delayed	(from https://mamacitaitaliana.godaddysites.com/)
16:26:33	12035/12035	---M-Z	200	added ('OK')	application/javascript	etag:%2213a1b7df08c8c6186e0be1ed13630742%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/c0d5fb7db1fc84a6/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/c0d5fb7db1fc84a6/script.js	(from https://mamacitaitaliana.godaddysites.com/)
16:26:33	59828/59828	---M-Z	200	added ('OK')	application/javascript	etag:%223d9ef0f14e70eda9dd6f963c3a05d771%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/d207a6ea46d8708b/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/d207a6ea46d8708b/script.js	(from https://mamacitaitaliana.godaddysites.com/)
16:26:37	296652/296652	---M-Z	200	added ('OK')	application/javascript	etag:%22eb0933f41b84550ce47f641abea3e1f6%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.23.5.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.23.5.js	(from https://mamacitaitaliana.godaddysites.com/)
16:26:37	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2003%20Jul%202022%2014:26:34%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/traffic-assets/js/tccl.min.1e.delayed	(from https://mamacitaitaliana.godaddysites.com/)
16:26:37	45537/45537	---M-Z	200	added ('OK')	application/javascript	etag:%22362d20193a8fed115f99b16a157b7fc4%22	https://img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	C:/Mis%20lugares%20Web/Mamacita/img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	(from https://mamacitaitaliana.godaddysites.com/)
16:26:38	103/103	---M-Z	200	added ('OK')	text/plain	etag:%227f92add3bae1d01:0%22	http://img1.wsimg.com/robots.txt		(from https://mamacitaitaliana.godaddysites.com/)
16:26:38	103/103	---M-Z	200	added ('OK')	text/plain	etag:%227f92add3bae1d01:0%22	https://img1.wsimg.com/robots.txt		(from https://mamacitaitaliana.godaddysites.com/)
16:26:38	59828/59828	---M-Z	200	added ('OK')	application/javascript	etag:%2224b1f56a14b073d31f9114fe378b5179%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/20be5461e645b15/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/20be5461e645b15/script.js	(from https://mamacitaitaliana.godaddysites.com/nuestra-musica)
16:26:38	16400/16400	---M-Z	200	added ('OK')	application/javascript	etag:%22f98ab3f8a42d58025ce8bb66a384ec51%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/3312009e7b37dab3/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/3312009e7b37dab3/script.js	(from https://mamacitaitaliana.godaddysites.com/nuestra-musica)
16:26:39	12040/12040	---M-Z	200	added ('OK')	application/javascript	etag:%22d2d801d791d16ace18979e42210ad8e7%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/8c92d1d524244a95/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/8c92d1d524244a95/script.js	(from https://mamacitaitaliana.godaddysites.com/acerca-de)
16:26:40	59828/59828	---M-Z	200	added ('OK')	application/javascript	etag:%22021c52d81af54f6a2f9d11cce4328bf7%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/da25159a9de89a31/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/da25159a9de89a31/script.js	(from https://mamacitaitaliana.godaddysites.com/acerca-de)
16:26:40	12040/12040	---M-Z	200	added ('OK')	application/javascript	etag:%2283b300bc9f3acd6b4274388e0d2fc522%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/30bd8dbb812936ab/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/30bd8dbb812936ab/script.js	(from https://mamacitaitaliana.godaddysites.com/fanatico-a-ti)
16:26:40	59828/59828	---M-Z	200	added ('OK')	application/javascript	etag:%22e07711dfa29878be076f8ab9f0d898ab%22	http://img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/e49dd9f2fb8f498b/script.js	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/blobby/go/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/gpub/e49dd9f2fb8f498b/script.js	(from https://mamacitaitaliana.godaddysites.com/fanatico-a-ti)
